Zip,Count
11201,22474
11203,15053
11204,7273
11205,22479
11206,33616
11207,23378
11208,21573
11209,14221
11210,10284
11211,33618
11212,17067
11213,23060
11214,8815
11215,15813
11216,30518
11217,18904
11218,12584
11219,7065
11220,17729
11221,33641
11222,15009
11223,9731
11224,7704
11225,26758
11226,42922
11228,3416
11229,10454
11230,13829
11231,8780
11232,7907
11233,19722
11234,12855
11235,12630
11236,13106
11237,29526
11238,31782
11239,829
