Zip,Population
11411,"20,719"
11426,"20,524"
10567,"20,518"
10037,"20,462"
14206,"20,310"
14051,"20,219"
12144,"20,205"
10552,"20,202"
14845,"20,011"
14526,"19,973"
12508,"19,825"
11501,"19,621"
10509,"19,582"
14830,"19,521"
14214,"19,492"
11726,"19,481"
14456,"19,473"
13901,"19,230"
10605,"19,195"
11436,"19,167"
10805,"19,096"
11360,"18,954"
14218,"18,952"
14559,"18,930"
11415,"18,891"
11428,"18,836"
13204,"18,741"
12561,"18,713"
11030,"18,578"
11362,"18,343"
11747,"18,288"
13903,"18,258"
11021,"18,245"
12477,"18,060"
10302,"18,037"
12534,"18,007"
11738,"17,972"
13790,"17,964"
11754,"17,946"
14468,"17,913"
10603,"17,866"
14760,"17,640"
10580,"17,334"
11790,"17,304"
12189,"17,290"
13205,"17,212"
11575,"17,180"
13039,"17,028"
14615,"16,963"
14611,"16,962"
12054,"16,940"
12589,"16,882"
10606,"16,841"
14305,"16,767"
13206,"16,723"
14052,"16,672"
13676,"16,637"
11788,"16,583"
14607,"16,521"
12831,"16,517"
13203,"16,513"
10549,"16,498"
12206,"16,480"
11950,"16,444"
11733,"16,363"
10538,"16,302"
13662,"16,267"
11937,"16,137"
11703,"16,119"
11780,"16,099"
13104,"16,052"
12524,"15,934"
13669,"15,908"
10960,"15,857"
14901,"15,855"
10017,"15,846"
13413,"15,777"
10470,"15,716"
10965,"15,534"
12118,"15,508"
11946,"15,453"
14613,"15,381"
12953,"15,374"
10804,"15,229"
14904,"15,176"
13219,"15,107"
11004,"15,098"
14564,"15,082"
13031,"15,080"
11782,"14,965"
10307,"14,906"
11798,"14,864"
12771,"14,788"
12308,"14,699"
12019,"14,456"
12182,"14,432"
11366,"14,360"
12801,"14,358"
11751,"14,314"
14063,"14,302"
14048,"14,283"
14210,"14,249"
11702,"14,127"
14222,"14,114"
12538,"14,081"
11598,"14,066"
10980,"13,942"
14513,"13,938"
10941,"13,786"
14411,"13,776"
11730,"13,663"
11953,"13,645"
13057,"13,643"
14619,"13,642"
10924,"13,508"
10528,"13,182"
13421,"13,149"
10520,"13,117"
11951,"13,015"
11764,"12,981"
11693,"12,944"
13815,"12,930"
11961,"12,902"
10570,"12,900"
11753,"12,857"
12839,"12,838"
14843,"12,814"
12528,"12,797"
11239,"12,772"
14527,"12,745"
13209,"12,713"
14301,"12,704"
10514,"12,667"
10918,"12,653"
11545,"12,604"
11755,"12,598"
13207,"12,597"
13066,"12,525"
11577,"12,513"
10803,"12,510"
10044,"12,440"
11742,"12,438"
11576,"12,374"
14004,"12,332"
10530,"12,268"
12586,"12,246"
13032,"12,208"
10474,"12,179"
11778,"12,081"
14810,"12,067"
10927,"12,065"
14425,"12,049"
12095,"12,046"
14219,"12,000"
14622,"11,939"
14201,"11,935"
14605,"11,932"
14586,"11,875"
14519,"11,723"
11766,"11,720"
12566,"11,571"
14608,"11,542"
12701,"11,526"
13827,"11,452"
12188,"11,415"
13041,"11,409"
10604,"11,290"
13323,"11,282"
14437,"11,220"
14454,"11,206"
13492,"11,154"
13617,"11,137"
10522,"11,070"
12211,"10,990"
14092,"10,922"
12549,"10,915"
13078,"10,889"
13357,"10,786"
14502,"10,733"
14212,"10,715"
10536,"10,627"
10601,"10,614"
14208,"10,574"
13148,"10,535"
14103,"10,519"
11968,"10,517"
14031,"10,468"
10510,"10,438"
13619,"10,400"
13165,"10,376"
14625,"10,262"
10707,"10,260"
14467,"10,098"
10970,"10,082"
10553,"10,075"
12569,"10,047"
12571,"9,984"
12414,"9,979"
12209,"9,978"
11518,"9,969"
13642,"9,909"
14059,"9,860"
13037,"9,787"
13350,"9,786"
11716,"9,781"
11740,"9,693"
14006,"9,605"
10709,"9,603"
12210,"9,583"
14001,"9,522"
13603,"9,501"
10280,"9,496"
12828,"9,481"
14870,"9,468"
10930,"9,425"
10992,"9,360"
11023,"9,301"
11713,"9,295"
14011,"9,198"
11771,"9,150"
14895,"9,144"
10523,"9,133"
14032,"9,083"
10920,"9,075"
13036,"9,064"
11777,"9,007"
14522,"9,005"
11797,"8,962"
12572,"8,892"
10018,"8,806"
10589,"8,793"
13367,"8,767"
14472,"8,713"
10005,"8,701"
10989,"8,689"
14204,"8,643"
10923,"8,627"
11565,"8,560"
10706,"8,493"
10595,"8,473"
11558,"8,465"
13214,"8,439"
12563,"8,431"
13035,"8,422"
14905,"8,407"
13224,"8,369"
11096,"8,362"
12803,"8,357"
12202,"8,342"
11769,"8,340"
13365,"8,339"
12204,"8,318"
14482,"8,303"
11789,"8,301"
12540,"8,248"
10579,"8,208"
10504,"8,196"
11559,"8,192"
12043,"8,129"
13340,"8,097"
13152,"8,025"
12033,"7,906"
12009,"7,900"
11557,"7,878"
12198,"7,871"
12159,"7,870"
11792,"7,853"
13732,"7,799"
11024,"7,786"
14209,"7,736"
11705,"7,721"
14445,"7,716"
10547,"7,690"
10533,"7,662"
14589,"7,605"
14903,"7,600"
11934,"7,584"
10607,"7,578"
12564,"7,549"
14141,"7,480"
12983,"7,463"
14464,"7,462"
10007,"7,408"
14470,"7,406"
10994,"7,396"
11516,"7,372"
11933,"7,342"
13403,"7,302"
12018,"7,226"
11507,"7,225"
14428,"7,208"
14085,"7,178"
13029,"7,168"
11963,"7,161"
10507,"7,134"
14489,"7,113"
11363,"7,096"
10590,"7,078"
12307,"7,031"
14414,"7,017"
13077,"7,015"
12158,"6,945"
14070,"6,894"
12428,"6,885"
12184,"6,840"
12570,"6,827"
13202,"6,787"
12077,"6,745"
11709,"6,735"
14068,"6,731"
14514,"6,724"
14886,"6,713"
11560,"6,669"
12834,"6,665"
14779,"6,606"
12754,"6,602"
14047,"6,549"
13073,"6,534"
13339,"6,528"
13142,"6,522"
12832,"6,502"
12582,"6,423"
13135,"6,392"
12721,"6,387"
11786,"6,359"
10577,"6,356"
13865,"6,297"
11721,"6,288"
13346,"6,241"
14568,"6,232"
12222,"6,198"
12186,"6,193"
14706,"6,163"
13902,"6,130"
13108,"6,095"
13856,"6,089"
12822,"6,060"
10069,"6,051"
10962,"6,034"
11971,"6,026"
13316,"6,000"
11109,"5,980"
12986,"5,941"
14569,"5,896"
14432,"5,875"
11980,"5,865"
13211,"5,861"
14837,"5,786"
10282,"5,783"
11020,"5,774"
13309,"5,748"
12518,"5,732"
14261,"5,702"
10506,"5,699"
14108,"5,689"
14867,"5,676"
13753,"5,651"
14132,"5,632"
12542,"5,622"
13166,"5,616"
14174,"5,597"
14303,"5,582"
11940,"5,532"
12305,"5,519"
10502,"5,514"
14009,"5,491"
13778,"5,486"
13326,"5,419"
12123,"5,398"
12025,"5,388"
14727,"5,386"
10516,"5,375"
14801,"5,328"
14590,"5,316"
14530,"5,306"
13624,"5,305"
13159,"5,290"
12962,"5,256"
13068,"5,231"
11579,"5,214"
11942,"5,174"
14551,"5,152"
10594,"5,090"
13830,"5,077"
14067,"5,076"
10913,"5,075"
12446,"5,063"
12498,"5,045"
13407,"5,023"
13605,"5,014"
11952,"5,010"
13053,"5,006"
12084,"5,005"
14505,"5,002"
14871,"4,980"
14131,"4,969"
12170,"4,958"
10532,"4,952"
14510,"4,929"
10576,"4,907"
12883,"4,845"
14036,"4,836"
13733,"4,811"
10993,"4,803"
10560,"4,792"
12946,"4,746"
12887,"4,745"
12143,"4,728"
14883,"4,726"
14787,"4,704"
14546,"4,702"
11514,"4,694"
12545,"4,674"
11804,"4,671"
14136,"4,667"
12522,"4,659"
14572,"4,640"
13452,"4,618"
14105,"4,591"
11715,"4,583"
13140,"4,571"
12845,"4,570"
14423,"4,559"
11568,"4,548"
10464,"4,531"
12053,"4,527"
13849,"4,502"
10963,"4,487"
12580,"4,479"
14750,"4,419"
12157,"4,417"
13460,"4,414"
12885,"4,410"
10524,"4,380"
12816,"4,371"
10916,"4,352"
12148,"4,333"
12594,"4,332"
14737,"4,322"
13637,"4,318"
14080,"4,313"
13862,"4,290"
11944,"4,287"
14891,"4,276"
14532,"4,273"
13082,"4,258"
12037,"4,257"
14802,"4,235"
13329,"4,227"
12992,"4,197"
14042,"4,181"
12122,"4,170"
11796,"4,160"
13476,"4,150"
10928,"4,145"
14433,"4,141"
12833,"4,134"
13838,"4,099"
14882,"4,066"
13634,"4,064"
12134,"4,059"
12790,"4,058"
13074,"4,050"
14485,"4,010"
13456,"4,005"
12929,"3,982"
13602,"3,968"
12083,"3,939"
13317,"3,926"
10925,"3,913"
12027,"3,887"
13748,"3,876"
13408,"3,845"
12758,"3,835"
14548,"3,826"
13354,"3,811"
10921,"3,809"
10548,"3,793"
13033,"3,774"
12944,"3,764"
11732,"3,751"
11955,"3,748"
11954,"3,685"
11697,"3,674"
13084,"3,659"
14733,"3,646"
14823,"3,624"
12809,"3,612"
13131,"3,611"
13491,"3,606"
10926,"3,592"
13308,"3,543"
13132,"3,541"
14812,"3,525"
12196,"3,522"
14025,"3,475"
14821,"3,471"
13116,"3,468"
14719,"3,459"
11719,"3,447"
13655,"3,444"
14710,"3,443"
12449,"3,436"
14111,"3,425"
10987,"3,408"
13438,"3,392"
14202,"3,385"
13480,"3,372"
12487,"3,370"
13417,"3,362"
13787,"3,342"
11749,"3,341"
10004,"3,335"
12404,"3,334"
14757,"3,323"
10958,"3,319"
12443,"3,317"
13471,"3,291"
10998,"3,281"
14738,"3,252"
12846,"3,249"
12068,"3,238"
12138,"3,218"
13080,"3,210"
14543,"3,203"
10974,"3,202"
11724,"3,175"
12531,"3,171"
11935,"3,160"
13411,"3,152"
13754,"3,147"
14081,"3,123"
14098,"3,102"
12072,"3,097"
10006,"3,092"
10588,"3,087"
11978,"3,086"
11718,"3,075"
13691,"3,074"
13167,"3,067"
14712,"3,044"
12015,"3,026"
11794,"3,024"
14561,"3,014"
14755,"3,011"
13478,"3,009"
14172,"3,002"
13461,"3,000"
14735,"2,981"
12788,"2,980"
12919,"2,974"
12075,"2,959"
12525,"2,956"
14170,"2,944"
12520,"2,932"
14517,"2,931"
14770,"2,926"
11548,"2,922"
13825,"2,914"
13060,"2,912"
12154,"2,901"
13667,"2,898"
12850,"2,887"
12546,"2,885"
13795,"2,878"
14865,"2,874"
12821,"2,869"
12966,"2,858"
12547,"2,855"
12056,"2,847"
12413,"2,813"
12514,"2,807"
11549,"2,803"
13164,"2,797"
10984,"2,789"
13332,"2,782"
12458,"2,778"
14435,"2,773"
14739,"2,740"
12921,"2,734"
14715,"2,733"
14034,"2,716"
13613,"2,708"
13730,"2,687"
13143,"2,681"
12167,"2,678"
14817,"2,658"
14853,"2,656"
12501,"2,645"
13783,"2,634"
12567,"2,633"
14840,"2,631"
13092,"2,626"
14716,"2,623"
12859,"2,617"
12484,"2,612"
13044,"2,595"
12183,"2,592"
13654,"2,578"
14873,"2,574"
13459,"2,557"
14775,"2,545"
13606,"2,512"
10973,"2,479"
13146,"2,462"
13685,"2,460"
14471,"2,458"
12835,"2,456"
10537,"2,441"
13409,"2,437"
14525,"2,424"
12149,"2,423"
11964,"2,413"
13622,"2,410"
10968,"2,400"
13076,"2,397"
14516,"2,392"
14604,"2,364"
12581,"2,358"
12979,"2,356"
14627,"2,348"
12981,"2,341"
13424,"2,338"
13040,"2,337"
14012,"2,334"
12106,"2,333"
10976,"2,332"
13658,"2,320"
13425,"2,318"
13101,"2,311"
12575,"2,308"
12926,"2,304"
12920,"2,285"
14809,"2,284"
13736,"2,283"
14782,"2,270"
12583,"2,269"
13620,"2,267"
14476,"2,250"
14747,"2,243"
12466,"2,241"
13042,"2,224"
14422,"2,221"
13797,"2,220"
12748,"2,215"
12918,"2,210"
12912,"2,209"
12207,"2,202"
14139,"2,193"
13416,"2,189"
12023,"2,187"
12910,"2,183"
14744,"2,175"
13626,"2,172"
10511,"2,166"
13673,"2,142"
14767,"2,138"
12578,"2,123"
13120,"2,109"
12916,"2,108"
14781,"2,089"
12776,"2,078"
13495,"2,059"
12759,"2,058"
12783,"2,048"
13697,"2,047"
14718,"2,041"
13327,"2,038"
13320,"2,037"
12168,"2,033"
13083,"2,029"
13034,"2,021"
14898,"2,018"
13843,"2,015"
12185,"2,006"
12173,"1,999"
14879,"1,998"
12440,"1,997"
14058,"1,994"
12928,"1,988"
12121,"1,972"
12737,"1,963"
14826,"1,957"
14427,"1,943"
13063,"1,934"
12779,"1,930"
14040,"1,921"
11509,"1,920"
14171,"1,918"
14838,"1,917"
14101,"1,910"
12817,"1,905"
14741,"1,900"
10986,"1,899"
12463,"1,895"
14726,"1,892"
12958,"1,881"
12197,"1,880"
14138,"1,879"
12977,"1,874"
13156,"1,870"
12192,"1,867"
12193,"1,855"
13679,"1,851"
14145,"1,847"
12775,"1,845"
14504,"1,839"
14005,"1,838"
12853,"1,836"
13775,"1,829"
13302,"1,826"
13734,"1,817"
12870,"1,816"
14711,"1,814"
13160,"1,812"
13431,"1,811"
13493,"1,804"
14030,"1,800"
13433,"1,791"
14743,"1,784"
12577,"1,783"
13625,"1,778"
14028,"1,776"
13054,"1,775"
13144,"1,774"
10917,"1,766"
12137,"1,764"
10526,"1,763"
14167,"1,761"
11005,"1,759"
12455,"1,755"
13490,"1,753"
12516,"1,747"
14203,"1,733"
12957,"1,723"
13616,"1,722"
12116,"1,712"
13024,"1,709"
13111,"1,706"
14013,"1,703"
13680,"1,702"
14481,"1,699"
13660,"1,697"
12140,"1,690"
12059,"1,682"
11976,"1,679"
13343,"1,675"
13112,"1,673"
12070,"1,669"
13402,"1,659"
12461,"1,654"
14880,"1,640"
12523,"1,626"
12723,"1,625"
13304,"1,617"
13428,"1,615"
12052,"1,611"
13608,"1,607"
14054,"1,593"
14591,"1,592"
13618,"1,590"
14466,"1,576"
13158,"1,569"
13650,"1,567"
14024,"1,552"
12935,"1,551"
13652,"1,548"
12062,"1,546"
12093,"1,545"
13808,"1,544"
13052,"1,541"
14889,"1,539"
12956,"1,538"
14129,"1,530"
12974,"1,529"
13328,"1,526"
13661,"1,521"
12067,"1,519"
14478,"1,501"
12504,"1,494"
14550,"1,491"
10162,"1,486"
12125,"1,483"
13315,"1,481"
12491,"1,478"
12472,"1,464"
13145,"1,457"
12496,"1,456"
12959,"1,454"
13630,"1,448"
13318,"1,443"
14804,"1,435"
13801,"1,428"
14008,"1,415"
12060,"1,414"
12058,"1,394"
14709,"1,389"
12917,"1,378"
13464,"1,373"
13335,"1,370"
12733,"1,367"
13796,"1,362"
14778,"1,354"
14571,"1,350"
12521,"1,349"
13757,"1,338"
14055,"1,331"
12993,"1,330"
12985,"1,328"
13607,"1,322"
12980,"1,321"
14506,"1,317"
12076,"1,308"
12548,"1,306"
12814,"1,284"
12903,"1,283"
14858,"1,281"
14066,"1,260"
14869,"1,259"
12485,"1,256"
14102,"1,255"
14894,"1,246"
13694,"1,244"
13122,"1,239"
13028,"1,229"
10546,"1,228"
10964,"1,224"
12726,"1,222"
14614,"1,215"
10501,"1,213"
14860,"1,204"
14864,"1,197"
14418,"1,176"
13839,"1,171"
13807,"1,163"
12029,"1,156"
12751,"1,152"
12166,"1,148"
12719,"1,145"
12502,"1,138"
13835,"1,132"
13469,"1,131"
13755,"1,127"
14769,"1,124"
12430,"1,119"
11569,"1,117"
13338,"1,110"
14037,"1,107"
14740,"1,105"
11972,"1,096"
12967,"1,094"
10505,"1,089"
13061,"1,087"
10518,"1,071"
12457,"1,070"
12997,"1,069"
13368,"1,062"
13325,"1,059"
12423,"1,050"
12824,"1,036"
12474,"1,035"
13485,"1,029"
14143,"1,013"
12934,"1,007"
13684,"1,006"
12777,"1,005"
14555,"1,004"
11939,999
14728,995
12153,993
13477,991
14859,984
14784,972
12160,962
12785,953
12765,951
13071,949
12406,947
13355,941
14855,940
10931,938
13486,937
12970,935
13780,929
12914,928
10527,925
13731,923
13615,922
13750,918
14822,913
14729,906
14836,892
12734,890
11930,882
13864,880
12585,879
13322,870
12768,867
13420,864
12873,863
12032,858
12960,857
10597,853
12028,849
12434,842
14815,841
12942,837
14820,826
12190,821
14839,811
13361,802
10578,801
12842,797
13752,794
13844,790
11765,782
13782,777
13473,776
14846,775
14897,773
11958,768
12930,748
12136,732
13682,731
13665,728
12473,726
13406,721
12130,720
11948,710
14841,707
12409,703
13863,694
14777,693
12857,685
12120,683
11547,681
12442,675
12810,671
12008,668
13337,662
13672,660
13841,659
13489,658
14872,657
14878,644
10988,636
14754,629
12763,628
14748,618
13141,616
12022,612
14824,611
14126,608
13842,606
13157,603
14720,601
12427,600
14714,597
12604,591
12480,588
12884,585
14819,584
12836,582
12433,579
12503,573
12041,571
10933,563
12923,562
13319,561
12838,555
13310,553
12843,547
13776,546
14462,534
14026,531
12175,528
14816,527
12860,526
12063,524
12791,523
12494,519
13470,517
12732,516
13740,515
12760,514
12187,513
12470,512
14717,509
12517,501
12965,498
13155,497
12945,492
12147,487
14877,476
12412,473
13621,469
13163,468
10517,459
14113,455
14486,449
13313,425
12085,424
12743,420
13136,417
12460,416
12448,413
13153,408
12017,403
13678,400
12851,394
12574,388
12164,387
13756,384
13437,382
11965,380
12410,370
13846,369
12454,366
13786,365
12766,364
12943,358
12786,354
12439,348
13777,347
12071,346
12955,334
12769,332
12978,328
13314,325
13804,323
14441,319
14742,313
14783,305
12738,304
13640,301
14856,300
12172,296
13113,294
13410,291
12781,278
12452,275
13861,273
12752,270
12483,267
12724,255
12770,246
12420,242
12424,239
13636,237
12421,236
14874,235
14708,230
13806,229
12939,223
13305,220
12856,218
13134,216
13162,215
12741,214
12855,210
13342,209
10975,200
12987,198
12482,196
12161,191
14545,188
14827,186
13441,184
12450,181
13751,180
13488,172
14130,170
13301,168
13341,166
12165,161
14881,159
13051,157
13674,155
10503,153
12512,151
13675,149
12964,148
12812,143
13087,134
12495,131
14707,129
6390,125
13404,124
13845,123
12725,119
12858,116
12195,113
14134,111
10953,109
12973,104
12745,100
13020,99
13847,98
12924,97
13651,96
13364,89
14549,76
13436,74
13415,73
13472,68
13794,67
14542,60
12933,59
13641,48
13102,47
12736,46
13643,43
10279,42
13062,41
13450,35
13333,34
12922,33
12438,31
14756,28
12864,22
13623,18
13475,16
13826,15
13353,13
14854,12
13352,11
12007,9
